Drug Code,Drug Name,Drug Type (i.e Tablet),Unit Cost,System quantity,Re order levels,Packed Quantity
347,M/vitamin 100ml,Tablet,0,0,0,1
348,Maalox plus susp,Tablet,0,0,0,1
349,Magnesium sulphate 50%,Tablet,0,0,0,1
350,Mask inhaler (paed),Tablet,0,0,0,1
351,Medistop susp,Tablet,0,0,0,1
352,Med-keel lozenges,Tablet,0,0,0,1
353,Medrol 4mg,Tablet,0,0,0,1
354,Melcam 15mg,Tablet,0,0,0,1
355,Melmet SR 1g,Tablet,0,0,0,1
356,Meropenem 1g (canem),Tablet,0,0,0,1
357,Methotrexate 2.5mg,Tablet,0,0,0,1
358,Methyl Dopa ,Tablet,0,0,0,1
359,Methyl Prednisolone (depo medro) 40mg,Tablet,0,0,0,1
360,metochlopramide 10mg/2ml,Tablet,0,0,0,1
361,Metoz 2.5mg,Tablet,0,0,0,1
362,Metronidazole 200mg tabs,Tablet,0,0,0,1
363,Metronidazole Inj 100ml,Tablet,0,0,0,1
364,Microenema (Enema) 10ml,Tablet,0,0,0,1
365,Microgynon tats 21's,Tablet,0,0,0,1
366,Midozolam 1mg/3ml (Dormicum),Tablet,0,0,0,1
367,Mixtard insulin,Tablet,0,0,0,1
368,Mobic 15mg,Tablet,0,0,0,1
369,Mobic 7.5mg,Tablet,0,0,0,1
370,Mofic 15mg,Tablet,0,0,0,1
371,Mofic 7.5mg,Tablet,0,0,0,1
372,Momecort cream(mometasone),Tablet,0,0,0,1
373,Monotrate 20mg,Tablet,0,0,0,1
374,Morphine Sulphate 10mg/ml,Tablet,0,0,0,1
375,Motilium 10mg,Tablet,0,0,0,1
376,Mucosolvan 100ml,Tablet,0,0,0,1
377,Mucosolvan 30mg,Tablet,0,0,0,1
378,Multi Vitamins (Synervit),Tablet,0,0,0,1
379,Muvera 15mg,Tablet,0,0,0,1
380,Muvera 7.5mg,Tablet,0,0,0,1
381,Myolgin Caps,Tablet,0,0,0,1
382,Myospaz   Tabs,Tablet,0,0,0,1
383,Nasi-saline drops,Tablet,0,0,0,1
384,Natural tears (alcon),Tablet,0,0,0,1
385,Nebilet 5mg tabs,Tablet,0,0,0,1
386,Nebilong 5mg,Tablet,0,0,0,1
387,Neopeptide caps,Tablet,0,0,0,1
388,Neopeptine drops,Tablet,0,0,0,1
389,Neorolax A tabs,Tablet,0,0,0,1
390,Neostimine 2.5 mg/ml,Tablet,0,0,0,1
391,Nepro 40mg tabs,Tablet,0,0,0,1
392,Netazox susp 30ml(Nitazoxanide ),Tablet,0,0,0,1
393,Neuro forte,Tablet,0,0,0,1
394,Neuroba 300mg,Tablet,0,0,0,1
395,Neurocare plus tabs ,Tablet,0,0,0,1
396,Neurocare tabs,Tablet,0,0,0,1
397,Neurodenk tabs,Tablet,0,0,0,1
398,Neurorubine forte tabs,Tablet,0,0,0,1
399,Nexium 20mg,Tablet,0,0,0,1
400,Nexpro 40mg inj,Tablet,0,0,0,1
401,Nexpro 40mg tabs,Tablet,0,0,0,1
402,Nifedipine 20mg (Nepin) tabs,Tablet,0,0,0,1
403,Nifelat 20mg,Tablet,0,0,0,1
404,Nitrofurantoin 100mg,Tablet,0,0,0,1
405,Nogluc 5mg,Tablet,0,0,0,1
406,Norash cream,Tablet,0,0,0,1
407,Normal Saline 500ml,Tablet,0,0,0,1
408,Nosic tabs,Tablet,0,0,0,1
409,NoSpalgin tabs ,Tablet,0,0,0,1
410,Nystatin oral drops 15ml,Tablet,0,0,0,1
411,Nystatin oral drops 30ml,Tablet,0,0,0,1
412,Olfen SR 75mg,Tablet,0,0,0,1
413,Omez 20mg,Tablet,0,0,0,1
414,Ondansetron 30ml soln,Tablet,0,0,0,1
415,Ondansetron 8mg sublingual,Tablet,0,0,0,1
416,Ondastron 4mg,Tablet,0,0,0,1
417,Ondastron inj,Tablet,0,0,0,1
418,Ornidazole 500mg,Tablet,0,0,0,1
419,ORS satchets,Tablet,0,0,0,1
420,Osteocare tabs,Tablet,0,0,0,1
421,Osteocerine tabs,Tablet,0,0,0,1
422,Osteosafe -k2,Tablet,0,0,0,1
423,Oxybral 30mg,Tablet,0,0,0,1
424,Oxybutynin 5mg,Tablet,0,0,0,1
425,Oxytocin (cyntocinon) 10i.u/ml,Tablet,0,0,0,1
426,P-Alaxin 100ml susp,Tablet,0,0,0,1
427,P-Alaxin 9's tabs,Tablet,0,0,0,1
428,Panadol advance,Tablet,0,0,0,1
429,Pancuronium inj 4mg/ml,Tablet,0,0,0,1
430,Pandev 40mg (Pantoprazole),Tablet,0,0,0,1
431,Paracetamol 150mg inj,Tablet,0,0,0,1
432,Paracetamol 500mg tabs ,Tablet,0,0,0,1
433,PCM(Gacet) supp 125mg,Tablet,0,0,0,1
434,PDL 5mg  (cosmos),Tablet,0,0,0,1
435,PDL 5mg  Loose,Tablet,0,0,0,1
436,Perfalgan 1g,Tablet,0,0,0,1
437,Pethadine  inj,Tablet,0,0,0,1
438,Pethidine 100mg/2ml inj,Tablet,0,0,0,1
439,Pethidine 50mg /ml inj,Tablet,0,0,0,1
440,Phenobarbitone 30mg,Tablet,0,0,0,1
441,Phyntoin 250mg/ml,Tablet,0,0,0,1
442,Pioday 15mg,Tablet,0,0,0,1
443,Piriton 100ml syrup,Tablet,0,0,0,1
444,Plasil 10mg (metcos),Tablet,0,0,0,1
445,Ponstan forte 500mg,Tablet,0,0,0,1
446,Potassium Chloride 15%,Tablet,0,0,0,1
447,Powergesic gel ,Tablet,0,0,0,1
448,Pozineg 1g,Tablet,0,0,0,1
449,Predsol forte syrup,Tablet,0,0,0,1
450,Predsol syrup 50ml,Tablet,0,0,0,1
451,Pregabalin 75mg (Epibalin),Tablet,0,0,0,1
452,Pregnasafe caps,Tablet,0,0,0,1
453,Pregnicare tabs,Tablet,0,0,0,1
454,Pregnidoxine tabs,Tablet,0,0,0,1
455,Presartan -H(Losartan +HTCZ),Tablet,0,0,0,1
456,Proguanil 100mg (paludrine),Tablet,0,0,0,1
457,Proloc D tabs,Tablet,0,0,0,1
458,Promethazine 60ml,Tablet,0,0,0,1
459,Promethazine inj 25mg/ml,Tablet,0,0,0,1
