Vendor,Address,Contact Person
2 Piece Productions,2 Piece Productions,
A1 Recording,A1 Recording,
Abbi Ventures,,
ABSEN (Sunrise HK Int'l Industrial Ltd),ABSEN (Sunrise HK Int'l Industrial Ltd),Mr. Lucas
Absolute Security Ltd,Absolute Security Ltd,
Accoladebiz Co. Ltd,Accoladebiz Co. Ltd,
Active Audio Visual Services,Active Audio Visual Services,
Adiemo Trading,Adiemo Trading,
AFRIBIZ LTD,,
Africabs Tours Ltd,Africabs Tours Ltd,
AIRTEL,AIRTEL,
ALEX NDAKA,ALEX NDAKA,
All State Insurance Agency,All State Insurance Agency,
Allan Oyugi,Allan Oyugi,
Alternate Ent,Alternate Ent,
Amarachi Enterprises,Amarachi Enterprises,
Amorosa Band,Amorosa Band,
ANTHONY WACHIRA,ANTHONY WACHIRA,
Aquamist Limited,Aquamist Limited,
Artists Account,,
ASA Productions,ASA Productions,
Asanand Music Shop,Asanand Music Shop,
ASAP Travel,ASAP Travel,
Asterey Electronic Systems,Asterey Electronic Systems,
Audio Systems,Audio Systems,
Audio Visual Engineering Ltd,Audio Visual Engineering Ltd,
AV Technology Consultation Experts,AV Technology Consultation Experts,
AVOLITES LTD,AVOLITES LTD,
Avtech Systems Ltd,Avtech Systems Ltd,
Barrackfit - Studio,Barrackfit - Studio,
Beat Factory,,
Beyond Border Merchants,Beyond Border Merchants,
Black Brand,Black Brand,
Brand Afrika Ltd,Brand Afrika Ltd,
Broadway Petroleum,Broadway Petroleum,
BUHAYRA FREIGHT LTD,BUHAYRA FREIGHT LTD,
BUHAYRAH FREIGHT LTD,BUHAYRAH FREIGHT LTD,
Calabash Group,Calabash Group,
Camouflage Media,,
Carole Obara,Carole Obara,
Cate ConfectionariesCaterers & Decorators,Cate ConfectionariesCaterers & Decorators,
Catherine Nderu,Catherine Nderu,
Celtel,Celtel,
Chloride Exide,Chloride Exide,
Choice International,,
Christine Nzuki,Christine Nzuki,
CHROM VENTURES LTD,CHROM VENTURES LTD,
CIC Group,CIC Group,
Citymart Technologies Ltd,Citymart Technologies Ltd,
client creditors,client creditors,
Collection Africa Ltd,Collection Africa Ltd,
Comhard Ltd,Comhard Ltd,
Commissioner of Domestic Taxes,Commissioner of Domestic Taxes,
Commissioner of VAT,Commissioner of VAT,
Communications Authority of Kenya,,
Cox Traders Ltd,,
Creaticus Ltd,Creaticus Ltd,
Crew Services Co.,Crew Services Co.,
Curio Auto Works,Fredrick A. Wamanyi,
CW Services,CW Services,
Dahlia's Kitchen,,
Dalmas O. Waga,Dalmas O. Waga,
Damama Logistics And Transport,Damama Logistics And Transport,P.O. Box 9097 - 00300
David Kiathe,David Kiathe,
David Waigambo,David Waigambo,
Davlan,,
Digital Focus Communication,,
Digital Lights Africa,Digital Lights Africa,
Digitavia Company Ltd,Digitavia Company Ltd,
Disruptive Ltd,Disruptive Ltd,
Douglas Nyoro,Douglas Nyoro,
EdTheMix,,
Edward Ogegan,Edward Ogegan,
Edwin Okoth Odhiambo,Edwin Okoth Odhiambo,
Elecomm Engineering Ltd,Elecomm Engineering Ltd,
Elegant Printing Works Ltd,Elegant Printing Works Ltd,
Elisha Kepha Babu,Elisha Kepha Babu,
Elisha Kephas Babu,Elisha Kephas Babu,
ELIUD MUITA IKUA(Amazi Security Group),ELIUD MUITA IKUA(Amazi Security Group),
ELIUD MUITAIKUA,ELIUD MUITAIKUA,
EMAI ELECTRICALS,EMAI ELECTRICALS,
Emeer Tours & Travels,Emeer Tours & Travels,
Emerging Communication,,
Emmanuel KwaCH,Emmanuel KwaCH,
Eric Latiff,Eric Latiff,
Erick Odhiambo,Erick Odhiambo,
Erick Omondi,,
Essential Events,,
Ethnic Production Co.,Ethnic Production Co.,
Evensis Ventures,Evensis Ventures,
Event Sound n Lights EA Ltd,Event Sound n Lights EA Ltd,
Events Marketing Solutions Ltd,Events Marketing Solutions Ltd,
Excloosive Ltd,Excloosive Ltd,
Extra Dimension,Extra Dimension,
EZEKIEL ANDIKA,EZEKIEL ANDIKA,
Famiar Generating Systems Ltd,Famiar Generating Systems Ltd,
Fem Care Feminine Hygiene Services E.ALtd,Fem Care Feminine Hygiene Services E.ALtd,
Film Studios,Film Studios,
FINE FOCUS LTD,FINE FOCUS LTD,
Fitness Consultants Ltd,Fitness Consultants Ltd,
FLORENCE NDEDA,FLORENCE NDEDA,
FM Audio Systems,,
Fountain TV,,
Francis Muigai,Francis Muigai,
Francis Ouma,Francis Ouma,
Fredrick Mulubi,,
Fundi Firm,Fundi Firm,
Funky Deco,Funky Deco,
FUTON & GONG,FUTON & GONG,
Gabriel Nduati,Gabriel Nduati,
Generato Operators,Generato Operators,
Generator Operators,Generator Operators,
George Kamau,George Kamau,
George Mbugua,George Mbugua,
GEORGE NJOROGE KIRAGU,,
George Otieno,George Otieno,
Gideon Ngigi Ngamate,Gideon Ngigi Ngamate,
GIG Dynamics,GIG Dynamics,
Gillman Traders,Gillman Traders,
GlobeCast,GlobeCast,
Gokals Ltd,Gokals Ltd,
Gospoepic Entertainment,,
Gravity Entertainment,Gravity Entertainment,
Gypse Ltd,Gypse Ltd,
Harun Gitau,Harun Gitau,
Heinz Party Services,Heinz Party Services,
Heritage Insurance,,
Homeboyz Entertainment Ltd,Homeboyz Entertainment Ltd,
HOMING PIGEON TRAVEL SERVICES,HOMING PIGEON TRAVEL SERVICES,
HURESCO Consulting,HURESCO Consulting,
Imani Rehabilitation Centre,Imani Rehabilitation Centre,
INCENTIVE TRAVEL,,
Independent Taxi Services,Independent Taxi Services,
Index Vault Ltd,Index Vault Ltd,
IZONE (Interactive Zone Ltd),IZONE (Interactive Zone Ltd),
Jahja Consult,Jahja Consult,
Jambo Trans Kenya,GEORGE NJOROGE KIRAGU,
Jamii Telecommunications Limited,Jamii Telecommunications Limited Valley Acade,P.O.Box 47419 - 00100
Jayshree Suchak,Jays Pyrotechnics Ltd,
Jeremiah Wandiga Kwach (DJ Signal),Jeremiah Wandiga Kwach (DJ Signal),
Jevans Enterprises,Jevans Enterprises,
Joseph Karanja,Joseph Karanja,
JOSEPH MONDA,JOSEPH MONDA,
Jovino Carpentry,Jovino Carpentry,
Kago Mukunya & Associates,Kago Mukunya & Associates,
Kayamba Africa,Kayamba Africa,
KEMA E.A,KEMA E.A,
KEMA E.A LTD,KEMA E.A LTD,
Kenya Conservatoire of Music,Kenya Conservatoire of Music,
Kenya Grip Company Ltd,Kenya Grip Company Ltd,
Kenya Orient,,
Kenya Power,Kenya Power,
KEPHA.,KEPHA.,
Kevin Mwangi Kariuki,Kevin Mwangi Kariuki,
Kingdans Crafts,Kingdans Crafts,
Kirimara Springs Hotel,Kirimara Springs Hotel,
Kithi and Company Advocates,Kithi and Company Advocates,P.O. Box 88615 - 80100
KRA,,
KUNGU NG'ANG'A,KUNGU NG'ANG'A,
Kybes Cleaning Services,Kybes Cleaning Services,
Lang'at & Wandabwa Advocates,Lang'at & Wandabwa Advocates,
Lasker Solutions Ltd,Lasker Solutions Ltd,
LAWRENCE UHURU BROWN,LAWRENCE UHURU BROWN,
Lazards Ltd,Lazards Ltd,
Lemon Grass -Ground Est (Catering),Lemon Grass -Ground Est (Catering),
Leslie Khadondi,Leslie Khadondi,
Level One,Level One,
Live gigs,Live gigs,
Lucid Endineering Ltd,Lucid Endineering Ltd,
Lusaka Ventures Ltd,Lusaka Ventures Ltd,
Mack Tweni,Mack Tweni,
Madison Insurance,Madison Insurance,
Maina & Maina Advocates,Maina & Maina Advocates,
Martin Bundi,Martin Bundi,
Martin Bundi Kaboi,Martin Bundi Kaboi,
Mechatronix Audio Centre,Mechatronix Audio Centre,
MINE SOFTWARES LTD,MINE SOFTWARES LTD,
MIRIAM ATIENO,,
Mista Sam Production,Mista Sam Production,
Mitchell Cotts Limited,Mitchell Cotts Limited,"P.O Box 42485 – 80100, Mombasa"
Morris Ndeithi,Morris Ndeithi,
Moses Kibai,Moses Kibai,
Moses Kinyua,Moses Kinyua,
Motion Image & Sound Ltd,Motion Image & Sound Ltd,
Muchai Consulting,Muchai Consulting,
Multimedia International Agency Ltd,Multimedia International Agency Ltd,P.O. Box 39026 - 00623
Mustard Projectors,Mustard Projectors,
Mwanyumba Kariithi Consulting,Mwanyumba Kariithi Consulting,
Mystery Entertainment,Mystery Entertainment,
Nairobi City Council,,
Nairobi Prolectors Services Ltd,Nairobi Prolectors Services Ltd,
Naivasha Country Lodge,Naivasha Country Lodge,
Naphtaly Odhiambo,Odhiambo Ochuonyo Naphtaly,
Nation Newspaper,Nation Newspaper,
National Hospital Insurance Fund,National Hospital Insurance Fund,
National Social Security Fund,National Social Security Fund,
Nduru Murithii,Nduru Murithii,
Net @ home wireless network,Net @ home wireless network,
Nicholas Thuo,Nicholas Thuo,
Nine One Two Ltd,Nine One Two Ltd,
NINGBO GAOJU IMP,NINGBO GAOJU IMP,
Njihia Muoka Rashid Co. Ltd,Njihia Muoka Rashid Co. Ltd,
Nomadic Tents,,
Norbertus Owuor Oliech,Norbertus Owuor Oliech,
Onyango  & Fundis,Onyango  & Fundis,
Other Creditors,Other Creditors,
Owen Mwatia,,
Parkimain Lekishan,Parkimain Lekishan,
PATRICK MWANGI,PATRICK MWANGI,
PATRON AUTOMOBILE,PATRON AUTOMOBILE,
PAUL ATONI,PAUL ATONI,
Peragon Imaging Ltd,Peragon Imaging Ltd,
PETER KAMAU MUNYU,,
Peter Osano,Peter Osano,
Peterson Ngetha Gethenji,Peterson Ngetha Gethenji,
PHAT!MUSIC,PHAT!MUSIC,
PkatFellaz Entertainment,PkatFellaz Entertainment,
Plan A-Z Ltd,,
Pop Signs Media,Pop Signs Media,
Portfolio Initiatives,Portfolio Initiatives,
Power Hire Ltd,,
Prafulchandra Raja,Prafulchandra Raja,
Pride Drive,Pride Drive,
Qaudio Group,Qaudio Group,
Radar Security,,
RAO Distributors,RAO Distributors,
Ravenzo Tarading Ltd,Ravenzo Tarading Ltd,
Ravenzo Trading,Ravenzo Trading Hannah Kinyanjui,Hannah Kinyanjui
Resolution Health,,
Riq Konzert,Riq Konzert,
RIZA EVENT ORGARNIZERS,RIZA EVENT ORGARNIZERS,
Rover Land Auto Care Services Ltd,Rover Land Auto Care Services Ltd,
Safana Holdings,Safana Holdings,Lydia
Safaricom Ltd,,
Safe Zone Auto Parts Limited,Safe Zone Auto Parts Limited Nairobi,P.O. Box 7290-00300
Sai Raj Limited,Sai Raj Limited,P.O. Box 43490 00100
Sarakasi Trust,Sarakasi Trust,
Sedar,Reakey Seda,
Sentimentals Creations,Sentimentals Creations,
Serenity Services Ltd,Serenity Services Ltd,
Sheavonne Services,Sheavonne Services,
Sheqonne Services,Sheqonne Services,
Sheqvonne Services,Sheqvonne Services,
Shivatronics,,
Shivatronics / AT TRADING W,Shivatronics / AT TRADING W,
Showbiz Ltd,Showbiz Ltd,
Sight and Sound Ltd,Sight and Sound Ltd,
Sintrha Media,Sintrha Media,
Siza Investments Ltd,Siza Investments Ltd,
Smoke Machine,,
Soul Sounds Entertainment,Soul Sounds Entertainment,
Sound Fusion,,
Sounds Creations Ltd,,
Spez Limited,,
Spot On,Spot On,
St. John Council for Kenya,St. John Council for Kenya,
Standard Newspapers,Standard Newspapers,
Stanley Kariuki,Stanley Kariuki,
Stealth Communications,Stealth Communications,
Steve Ooro,Steve Ooro,
STOIC Company Ltd,STOIC Company Ltd,
Sweet Lake Resort,Sweet Lake Resort,
Swizz Net Africa,Swizz Net Africa,
TAITANICOM SYSTEM ENTERPRISES,TAITANICOM SYSTEM ENTERPRISES,
Tamara Nerima,,
Tangel Enterprises,Tangel Enterprises,
Techno Hub Ltd,,
TEK PRODUCTIONS SERVICES,TEK PRODUCTIONS SERVICES,
Telkom,Telkom,
The Beat Factory,The Beat Factory,
The Great Presentation Company Ltd,The Great Presentation Company Ltd,
The Place Caterers Enterprise,,
The Star Publications Ltd,The Star Publications Ltd,
The Voxen Company,The Voxen Company,
TONONOKA FIREWORKS LTD,TONONOKA FIREWORKS LTD,
Top Notch Media,Top Notch Media,
Total Kenya,Total Kenya,
TOYOTA K,,
TRAIL MY CAR,TRAIL MY CAR,
Two Way Communications Ltd,Two Way Communications Ltd,
Tyre Masters Ltd,,
UJA SERVICES LTD,UJA SERVICES LTD,
Ultimate Agencies (Dalmas O. Waga),Ultimate Agencies (Dalmas O. Waga),
